Товар,Цена,Ссылка
Бак для душа SHOWER 200л. (950*980*270) СТЕРХ,5 550 ₽,https://santehgas.ru/vodosnabzhenie/yomkosti-i-komplektuyushchie/bak-ddusha-shower-200l-950980270-styerkh-11/
Бак для душа SHOWER 250л. (1030*1030*475) СТЕРХ,7 380 ₽,https://santehgas.ru/vodosnabzhenie/yomkosti-i-komplektuyushchie/bak-ddusha-shower-250l-10301030475/
Бак расширительный OASIS вертикальный для водоснабжения 100л. СИНИЙ ,7 680 ₽,https://santehgas.ru/vodosnabzhenie/baki-rasshiritelnye/bak-rasshiritelnyy-oasis-vertikalnyy-dlya-vodosnabzheniya-100l-siniy-11/
Бак расширительный OASIS горизонтальный для водоснабжения 24л. СИНИЙ ,1 990 ₽,https://santehgas.ru/vodosnabzhenie/baki-rasshiritelnye/bak-rasshiritelnyy-oasis-gorizontalnyy-dlya-vodosnabzheniya-24l-siniy-11/
Бак расширительный RADOstill горизонтальный для водоснабжения 24л. СИНИЙ ,2 330 ₽,https://santehgas.ru/vodosnabzhenie/baki-rasshiritelnye/bak-rasshiritelnyy-wester-dlya-vodosnabzheniya-24l-siniy-11/
Бак расширительный RADOstill горизонтальный для водоснабжения 50л. СИНИЙ ,6 290 ₽,https://santehgas.ru/vodosnabzhenie/baki-rasshiritelnye/bak-rasshiritelnyy-wester-dlya-vodosnabzheniya-50l-siniy-11/
Бак расширительный RADOstill горизонтальный для водоснабжения 80л. СИНИЙ ,8 040 ₽,https://santehgas.ru/vodosnabzhenie/baki-rasshiritelnye/bak-rasshiritelnyy-wester-dlya-vodosnabzheniya-80l-siniy-11/
Бак расширительный RADOstill для водоснабжения вертикальный 100л. СИНИЙ с ножками ,10 890 ₽,https://santehgas.ru/vodosnabzhenie/baki-rasshiritelnye/bak-rasshiritelnyy-wester-dlya-vodosnabzheniya-vertikalnyy-100l-siniy-s-nozhkami-11/
Бак расширительный RADOstill для ГВС 12л. белый,2 780 ₽,https://santehgas.ru/vodosnabzhenie/baki-rasshiritelnye/bak-rasshiritelnyy-radostill-dlya-gvs-12l-belyy-11/
Бак расширительный RADOstill для ГВС 18л. белый,3 290 ₽,https://santehgas.ru/vodosnabzhenie/baki-rasshiritelnye/bak-rasshiritelnyy-radostill-dlya-gvs-18l-belyy-11/
Бак расширительный RADOstill для ГВС 24л. белый ,3 640 ₽,https://santehgas.ru/vodosnabzhenie/baki-rasshiritelnye/bak-rasshiritelnyy-wester-dlya-gvs-24l-belyy-11/
Бак расширительный RADOstill для ГВС 8л. белый ,2 380 ₽,https://santehgas.ru/vodosnabzhenie/baki-rasshiritelnye/bak-rasshiritelnyy-wester-dlya-gvs-8l-belyy-11/
Бак расширительный горизонт. НЕРЖ (Unipress) для водоснабжения 24л. ,4 780 ₽,https://santehgas.ru/vodosnabzhenie/baki-rasshiritelnye/bak-rasshiritelnyy-gorizont-nyerzh-unipress-dlya-vodosnabzheniya-24l/
Бак расширительный ДЖИЛЕКС горизонтальный для водоснабжения 24 ГПк СИНИЙ,2 200 ₽,https://santehgas.ru/vodosnabzhenie/baki-rasshiritelnye/bak-rasshiritelnyy-dzhilyeks-dlya-vody-gorizontalnyy-24-gpk-siniy-pris-1/
Бак расширительный для ГВС CIMM 24л. (CM.ACS) белый ,4 090 ₽,https://santehgas.ru/vodosnabzhenie/baki-rasshiritelnye/bak-rasshiritelnyy-dlya-gvs-cimm-24l-cmacs-belyy/
Бак расширительный для ГВС CIMM 8л. (CM.ACS) белый ,2 290 ₽,https://santehgas.ru/vodosnabzhenie/baki-rasshiritelnye/bak-rasshiritelnyy-dlya-gvs-cimm-8l-cmacs-belyy/
Блок автоматики Aquario PRESSCONTROL TYPE-III,3 870 ₽,https://santehgas.ru/vodosnabzhenie/nasosy/aksessuary-dlya-nasosov/blok-avtomatiki-aquario/
Блок автоматики AR AS PC-13А,2 390 ₽,https://santehgas.ru/vodosnabzhenie/nasosy/aksessuary-dlya-nasosov/blok-avtomatiki-aquamotor-ar-as-pc-13a/
Блок автоматики AR AS PC-16A с кабелем,2 750 ₽,https://santehgas.ru/vodosnabzhenie/nasosy/aksessuary-dlya-nasosov/blok-avtomatiki-aquamotor-as-pc-16a-50/
Блок автоматики PM-1 Grundfos  (96848693),7 900 ₽,https://santehgas.ru/vodosnabzhenie/nasosy/aksessuary-dlya-nasosov/blok-avtomatiki-pm-1-grundfos-96848693/
Блок автоматики Valtec VT.EPC2,2 618 ₽,https://santehgas.ru/vodosnabzhenie/nasosy/aksessuary-dlya-nasosov/blok-avtomatiki-valtec-vtepc2/
Блок автоматики Джилекс,2 850 ₽,https://santehgas.ru/vodosnabzhenie/nasosy/aksessuary-dlya-nasosov/blok-avtomatiki-dzhileks/
Блок управления Grundfos CU 301 для насосов SQE (96436753),26 900 ₽,https://santehgas.ru/vodosnabzhenie/nasosy/aksessuary-dlya-nasosov/blok-upravleniya-cu-301-dlya-nasosov-sqe-96436753/
Блок управления насосом UNIPUMP АКВАРОБОТ ТУРБИ,1 140 ₽,https://santehgas.ru/vodosnabzhenie/nasosy/aksessuary-dlya-nasosov/blok-upravleniya-nasosom-unipump-turbi/
Блок управления насосом UNIPUMP АКВАРОБОТ ТУРБИ М1,2 000 ₽,https://santehgas.ru/vodosnabzhenie/nasosy/aksessuary-dlya-nasosov/blok-upravleniya-nasosom-unipump-turbi-m1/
"Блок управления насосом UNIPUMP АКВАРОБОТ ТУРБИПРЕСС 1,5 кВт",4 550 ₽,https://santehgas.ru/vodosnabzhenie/nasosy/aksessuary-dlya-nasosov/blok-upravleniya-nasosom-unipump-turbipryess-15kvt/
"Блок управления насосом UNIPUMP АКВАРОБОТ ТУРБИПРЕСС 2,2 кВт",4 730 ₽,https://santehgas.ru/vodosnabzhenie/nasosy/aksessuary-dlya-nasosov/blok-upravleniya-nasosom-unipump-turbipryess-22kvt/
Блок управления насосом UNIPUMP ТУРБИПРЕСС М,2 740 ₽,https://santehgas.ru/vodosnabzhenie/nasosy/aksessuary-dlya-nasosov/blok-upravleniya-nasosom-unipump-turbipryess-m/
Вентилятор XKJ-80ES (M336),150 ₽,https://santehgas.ru/vodosnabzhenie/nasosy/zapchasti-dlya-nasosov/dzhileks/ventilyator-xkj-80es-m336/
Вентилятор двигателя JET 40 S,360 ₽,https://santehgas.ru/vodosnabzhenie/nasosy/zapchasti-dlya-nasosov/unipump/ventilyator-dvigatelya-jet-40-s/
"Вентилятор двигателя JET, JS, CPM 146, CPM 158, JSW 55, QB70, QB80",360 ₽,https://santehgas.ru/vodosnabzhenie/nasosy/zapchasti-dlya-nasosov/unipump/ventilyator-dvigatelya-jet-js-cpm-146-cpm-158-jsw-55-qb70-qb80/
Вентилятор Джамбо 50/28(60/35) (M335),140 ₽,https://santehgas.ru/vodosnabzhenie/nasosy/zapchasti-dlya-nasosov/dzhileks/ventilyator-dzhambo50286035-m335/
Винт Джамбо М5х16 оцинкованный под шестигранник (М141),28 ₽,https://santehgas.ru/vodosnabzhenie/nasosy/zapchasti-dlya-nasosov/dzhileks/vint-dzhambo-m5kh16-otsinkovannyy-pod-shestigrannik-m141/
Винт Джамбо М5х35 оцинкованный под шестигранник (М142),28 ₽,https://santehgas.ru/vodosnabzhenie/nasosy/zapchasti-dlya-nasosov/dzhileks/vint-dzhambo-m5kh35-otsinkovannyy-pod-shestigrannik-m142/
Винт Джамбо М8х25 оцинкованный под шестигранник (М145),58 ₽,https://santehgas.ru/vodosnabzhenie/nasosy/zapchasti-dlya-nasosov/dzhileks/vint-dzhambo-m8kh25-otsin-pod-shestigr-m145/
"Гайка колбы Slim 10"" (армлен для краб) М5213, M5421",288 ₽,https://santehgas.ru/vodosnabzhenie/nasosy/zapchasti-dlya-nasosov/dzhileks/gayka-kolby-slim-10-armlen-dlya-krab-m5104/
"Гермоввод Дренажника Ду5,5 (арт.М4724)",40 ₽,https://santehgas.ru/vodosnabzhenie/nasosy/zapchasti-dlya-nasosov/dzhileks/germovvod-drenazhnika-mdu55-artm4724/
"Гермоввод Дренажника мДу7,5 (арт.М642)",40 ₽,https://santehgas.ru/vodosnabzhenie/nasosy/zapchasti-dlya-nasosov/dzhileks/germovvod-drenazhnika-mdu75-artm642/
Датчик давления Grundfos MBS 3000 для насосов SQE (405168),14 600 ₽,https://santehgas.ru/vodosnabzhenie/nasosy/aksessuary-dlya-nasosov/datchik-davleniya-mbs-3000-dlya-nasosov-sqe-405168/
Датчик давления ТУРБИПРЕСС NEW с кабелем,1 450 ₽,https://santehgas.ru/vodosnabzhenie/nasosy/zapchasti-dlya-nasosov/unipump/datchik-davleniya-turbipryess-new-s-kabelem/
Датчик расхода комплект MQ (96450698),5 576 ₽,https://santehgas.ru/vodosnabzhenie/nasosy/zapchasti-dlya-nasosov/grundfos/datchik-raskhoda-komplekt-mq-96450698/
Датчик уровня D-2 (97775347),5 923 ₽,https://santehgas.ru/vodosnabzhenie/nasosy/zapchasti-dlya-nasosov/grundfos/datchik-urovnya-d-2-97775347/
Диффузор + Вентури Джамбо 50/28 (60/35) (арт.М627),426 ₽,https://santehgas.ru/vodosnabzhenie/nasosy/zapchasti-dlya-nasosov/dzhileks/diffuzor--venturi-dzhambo-5028-6035-artm627/
Диффузор JET L,680 ₽,https://santehgas.ru/vodosnabzhenie/nasosy/zapchasti-dlya-nasosov/unipump/diffuzor-jet-l/
